일자|시간|구분,공급량
2019-01-02 14 B,1803.544
2019-01-02 15 B,1735.1199
2019-01-02 16 B,1729.3253
2019-01-02 17 B,1794.3326
2019-01-02 18 B,1970.6691
2019-01-02 19 B,2273.2869
2019-01-02 20 B,2358.654
2019-01-02 21 B,2335.1865
2019-01-02 22 B,2300.1763
2019-01-02 23 B,2188.2263
2019-01-02 24 B,2070.666
2019-01-03 01 B,1854.1733
2019-01-03 02 B,1654.9846
2019-01-03 03 B,1571.0186
2019-01-03 04 B,1618.5198
2019-01-03 05 B,1776.0835
2019-01-03 06 B,1825.3522
2019-01-03 07 B,2072.679
2019-01-03 08 B,2478.597
2019-01-03 09 B,2546.5955
2019-01-03 10 B,2488.73
2019-01-03 11 B,2430.955
2019-01-03 12 B,2215.7131
2019-01-03 13 B,2017.6962
2019-01-03 14 B,1964.0404
2019-01-03 15 B,1821.788
2019-01-03 16 B,1815.9934
2019-01-03 17 B,1890.8138
2019-01-03 18 B,2135.3113
2019-01-03 19 B,2405.116
2019-01-03 20 B,2508.345
2019-01-03 21 B,2493.9075
2019-01-03 22 B,2452.9204
2019-01-03 23 B,2320.1274
2019-01-03 24 B,2194.5051
2019-01-04 01 B,1801.6671
2019-01-04 02 B,1546.6337
2019-01-04 03 B,1440.7146
2019-01-04 04 B,1488.0958
2019-01-04 05 B,1643.3586
2019-01-04 06 B,1702.4589
2019-01-04 07 B,1962.8807
2019-01-04 08 B,2376.5342
2019-01-04 09 B,2454.9958
2019-01-04 10 B,2388.6924
2019-01-04 11 B,2294.1162
2019-01-04 12 B,2062.9082
2019-01-04 13 B,1865.8766
2019-01-04 14 B,1798.4958
2019-01-04 15 B,1730.0323
2019-01-04 16 B,1724.2378
2019-01-04 17 B,1790.2938
2019-01-04 18 B,1966.7352
2019-01-04 19 B,2273.4656
2019-01-04 20 B,2366.5989
2019-01-04 21 B,2344.886
2019-01-04 22 B,2270.7468
2019-01-04 23 B,2167.7246
2019-01-04 24 B,2073.9258
2019-01-05 01 B,1711.5005
2019-01-05 02 B,1473.9978
2019-01-05 03 B,1421.8069
2019-01-05 04 B,1444.8083
2019-01-05 05 B,1623.4275
2019-01-05 06 B,1673.9193
2019-01-05 07 B,1934.3413
2019-01-05 08 B,2347.8782
2019-01-05 09 B,2438.137
2019-01-05 10 B,2376.9473
2019-01-05 11 B,2264.1892
2019-01-05 12 B,2072.2642
2019-01-05 13 B,1846.2971
2019-01-05 14 B,1788.3972
2019-01-05 15 B,1661.3904
2019-01-05 16 B,1654.617
2019-01-05 17 B,1716.4585
2019-01-05 18 B,1953.0911
2019-01-05 19 B,2255.2578
2019-01-05 20 B,2315.1443
2019-01-05 21 B,2338.7952
2019-01-05 22 B,2290.9114
2019-01-05 23 B,2150.9844
2019-01-05 24 B,2030.6124
2019-01-06 01 B,1722.3076
2019-01-06 02 B,1476.9635
2019-01-06 03 B,1387.6663
2019-01-06 04 B,1405.7161
2019-01-06 05 B,1619.2024
2019-01-06 06 B,1665.9364
2019-01-06 07 B,1907.046
2019-01-06 08 B,2308.641
2019-01-06 09 B,2405.7344
2019-01-06 10 B,2339.7485
2019-01-06 11 B,2267.0483
2019-01-06 12 B,2011.5883
2019-01-06 13 B,1838.6045
2019-01-06 14 B,1734.7244
2019-01-06 15 B,1660.4628
2019-01-06 16 B,1653.6893
2019-01-06 17 B,1715.5309
2019-01-06 18 B,1888.3127
2019-01-06 19 B,2221.6572
2019-01-06 20 B,2291.9888
2019-01-06 21 B,2266.1675
2019-01-06 22 B,2213.72
2019-01-06 23 B,2073.825
2019-01-06 24 B,2015.1188
2019-01-07 01 B,1763.9788
2019-01-07 02 B,1575.9354
2019-01-07 03 B,1450.1423
2019-01-07 04 B,1471.2615
2019-01-07 05 B,1646.7439
2019-01-07 06 B,1697.2356
2019-01-07 07 B,1953.4117
2019-01-07 08 B,2370.0444
2019-01-07 09 B,2465.9924
2019-01-07 10 B,2400.0066
2019-01-07 11 B,2340.9832
2019-01-07 12 B,2080.3416
2019-01-07 13 B,1877.8522
2019-01-07 14 B,1793.9037
2019-01-07 15 B,1688.9707
2019-01-07 16 B,1683.1761
2019-01-07 17 B,1745.0177
2019-01-07 18 B,1978.949
2019-01-07 19 B,2262.118
2019-01-07 20 B,2324.5906
2019-01-07 21 B,2338.8992
2019-01-07 22 B,2297.525
2019-01-07 23 B,2155.0183
2019-01-07 24 B,2034.6462
2019-01-08 01 B,1704.6621
2019-01-08 02 B,1447.6875
2019-01-08 03 B,1345.1729
2019-01-08 04 B,1391.1399
2019-01-08 05 B,1601.8716
2019-01-08 06 B,1648.3818
2019-01-08 07 B,1889.4915
2019-01-08 08 B,2291.0586
2019-01-08 09 B,2383.0627
2019-01-08 10 B,2275.2324
2019-01-08 11 B,2203.2957
2019-01-08 12 B,1986.2168
2019-01-08 13 B,1797.5363
2019-01-08 14 B,1705.1329
2019-01-08 15 B,1638.6965
2019-01-08 16 B,1630.7377
2019-01-08 17 B,1691.3735
2019-01-08 18 B,1853.6218
2019-01-08 19 B,2177.5706
2019-01-08 20 B,2227.8694
2019-01-08 21 B,2250.023
2019-01-08 22 B,2197.5754
2019-01-08 23 B,2126.032
2019-01-08 24 B,2020.9875
2019-01-09 01 B,1712.1888
2019-01-09 02 B,1501.1793
2019-01-09 03 B,1425.7024
2019-01-09 04 B,1471.2477
2019-01-09 05 B,1637.4434
2019-01-09 06 B,1686.4404
2019-01-09 07 B,1942.6166
2019-01-09 08 B,2357.493
2019-01-09 09 B,2448.0886
2019-01-09 10 B,2373.5325
2019-01-09 11 B,2308.4536
2019-01-09 12 B,2045.6676
2019-01-09 13 B,1835.6439
2019-01-09 14 B,1718.7064
2019-01-09 15 B,1626.5925
2019-01-09 16 B,1619.8191
2019-01-09 17 B,1681.6606
2019-01-09 18 B,1911.4569
2019-01-09 19 B,2222.9111
2019-01-09 20 B,2285.3838
2019-01-09 21 B,2324.615
2019-01-09 22 B,2256.3567
2019-01-09 23 B,2148.033
2019-01-09 24 B,2026.4938
2019-01-10 01 B,1723.4823
2019-01-10 02 B,1512.4728
2019-01-10 03 B,1436.9958
2019-01-10 04 B,1480.5244
2019-01-10 05 B,1646.7201
2019-01-10 06 B,1695.7172
2019-01-10 07 B,1951.8933
2019-01-10 08 B,2366.8245
2019-01-10 09 B,2464.1655
2019-01-10 10 B,2389.6094
2019-01-10 11 B,2323.3494
2019-01-10 12 B,2066.6353
2019-01-10 13 B,1858.7845
2019-01-10 14 B,1777.9525
2019-01-10 15 B,1653.5978
2019-01-10 16 B,1646.8243
2019-01-10 17 B,1708.6659
2019-01-10 18 B,1944.874
2019-01-10 19 B,2243.7444
2019-01-10 20 B,2306.217
2019-01-10 21 B,2334.7502
2019-01-10 22 B,2267.723
2019-01-10 23 B,2159.8965
2019-01-10 24 B,2034.1558
2019-01-11 01 B,1734.038
2019-01-11 02 B,1486.2195
2019-01-11 03 B,1456.0115
2019-01-11 04 B,1484.219
2019-01-11 05 B,1658.4612
2019-01-11 06 B,1711.3256
2019-01-11 07 B,1968.6243
2019-01-11 08 B,2386.9734
2019-01-11 09 B,2487.868
2019-01-11 10 B,2399.115
2019-01-11 11 B,2314.1675
2019-01-11 12 B,2099.5708
2019-01-11 13 B,1856.2019
2019-01-11 14 B,1755.8279
2019-01-11 15 B,1676.7018
2019-01-11 16 B,1669.9283
2019-01-11 17 B,1736.2402
2019-01-11 18 B,1917.5527
2019-01-11 19 B,2243.8403
2019-01-11 20 B,2311.336
2019-01-11 21 B,2279.2732
2019-01-11 22 B,2292.8289
2019-01-11 23 B,2157.6423
2019-01-11 24 B,2037.461
2019-01-12 01 B,1766.9603
2019-01-12 02 B,1511.6047
2019-01-12 03 B,1397.7028
2019-01-12 04 B,1418.1222
2019-01-12 05 B,1594.7079
2019-01-12 06 B,1662.1205
2019-01-12 07 B,1881.1515
2019-01-12 08 B,2300.049
2019-01-12 09 B,2379.4878
2019-01-12 10 B,2322.7007
2019-01-12 11 B,2279.969
2019-01-12 12 B,2008.8154
2019-01-12 13 B,1804.2638
2019-01-12 14 B,1770.8113
2019-01-12 15 B,1704.3107
2019-01-12 16 B,1696.3518
2019-01-12 17 B,1753.5339
2019-01-12 18 B,1915.3593
2019-01-12 19 B,2212.844
2019-01-12 20 B,2283.0073
2019-01-12 21 B,2265.3489
2019-01-12 22 B,2250.7273
2019-01-12 23 B,2113.8792
2019-01-12 24 B,2023.9404
2019-01-13 01 B,1773.8646
2019-01-13 02 B,1515.7616
2019-01-13 03 B,1420.1569
2019-01-13 04 B,1468.3751
2019-01-13 05 B,1640.6517
2019-01-13 06 B,1726.1107
2019-01-13 07 B,1968.3429
2019-01-13 08 B,2377.241
2019-01-13 09 B,2453.3984
2019-01-13 10 B,2349.676
2019-01-13 11 B,2290.9043
2019-01-13 12 B,2059.677
2019-01-13 13 B,1871.3392
2019-01-13 14 B,1791.7778
2019-01-13 15 B,1725.2772
2019-01-13 16 B,1717.3184
2019-01-13 17 B,1775.3882
2019-01-13 18 B,1937.2135
2019-01-13 19 B,2231.157
2019-01-13 20 B,2300.832
2019-01-13 21 B,2282.7085
2019-01-13 22 B,2263.779
2019-01-13 23 B,2126.931
2019-01-13 24 B,2032.3854
2019-01-14 01 B,1767.1969
2019-01-14 02 B,1546.1676
2019-01-14 03 B,1501.2578
2019-01-14 04 B,1523.634
2019-01-14 05 B,1676.7784
2019-01-14 06 B,1746.2933
2019-01-14 07 B,2003.592
2019-01-14 08 B,2428.671
2019-01-14 09 B,2505.3865
2019-01-14 10 B,2404.854
2019-01-14 11 B,2339.156
2019-01-14 12 B,2108.0361
2019-01-14 13 B,1887.643
2019-01-14 14 B,1787.2689
2019-01-14 15 B,1717.5612
2019-01-14 16 B,1710.7877
2019-01-14 17 B,1768.2865
2019-01-14 18 B,1936.5546
2019-01-14 19 B,2271.3008
2019-01-14 20 B,2340.0852
2019-01-14 21 B,2314.691
2019-01-14 22 B,2298.5889
2019-01-14 23 B,2171.4753
2019-01-14 24 B,2051.2932
2019-01-15 01 B,1766.0381
2019-01-15 02 B,1545.0088
2019-01-15 03 B,1500.099
2019-01-15 04 B,1523.6931
2019-01-15 05 B,1675.6196
2019-01-15 06 B,1726.1115
2019-01-15 07 B,1983.4103
2019-01-15 08 B,2404.2495
2019-01-15 09 B,2480.965
2019-01-15 10 B,2377.1519
2019-01-15 11 B,2337.9968
2019-01-15 12 B,2107.5752
2019-01-15 13 B,1887.1825
2019-01-15 14 B,1786.8085
2019-01-15 15 B,1716.5997
2019-01-15 16 B,1709.8263
2019-01-15 17 B,1767.3251
2019-01-15 18 B,1936.0941
2019-01-15 19 B,2270.8398
2019-01-15 20 B,2340.1125
2019-01-15 21 B,2316.1577
2019-01-15 22 B,2297.4297
2019-01-15 23 B,2170.3162
2019-01-15 24 B,2050.134
2019-01-16 01 B,1776.1711
2019-01-16 02 B,1519.153
2019-01-16 03 B,1439.6035
2019-01-16 04 B,1460.2192
2019-01-16 05 B,1674.1992
2019-01-16 06 B,1720.9332
2019-01-16 07 B,1963.1654
2019-01-16 08 B,2372.0632
2019-01-16 09 B,2446.713
2019-01-16 10 B,2387.9133
2019-01-16 11 B,2289.097
2019-01-16 12 B,2060.001
2019-01-16 13 B,1884.7511
2019-01-16 14 B,1785.7589
2019-01-16 15 B,1723.1711
2019-01-16 16 B,1716.3977
2019-01-16 17 B,1773.8965
2019-01-16 18 B,1939.1532
2019-01-16 19 B,2264.815
2019-01-16 20 B,2338.9624
2019-01-16 21 B,2315.6497
2019-01-16 22 B,2261.671
2019-01-16 23 B,2157.1448
2019-01-16 24 B,2049.4897
2019-01-17 01 B,1762.7719
2019-01-17 02 B,1506.1172
2019-01-17 03 B,1421.8553
2019-01-17 04 B,1467.9514
2019-01-17 05 B,1653.0016
2019-01-17 06 B,1694.051
2019-01-17 07 B,1954.3215
2019-01-17 08 B,2371.3071
2019-01-17 09 B,2420.9375
2019-01-17 10 B,2363.3735
2019-01-17 11 B,2254.7551
2019-01-17 12 B,2044.9648
2019-01-17 13 B,1871.2135
2019-01-17 14 B,1772.2213
2019-01-17 15 B,1709.6335
2019-01-17 16 B,1702.8601
2019-01-17 17 B,1760.3589
2019-01-17 18 B,1925.6156
2019-01-17 19 B,2252.2476
2019-01-17 20 B,2300.2012
2019-01-17 21 B,2302.111
2019-01-17 22 B,2248.1323
2019-01-17 23 B,2143.6062
2019-01-17 24 B,2035.9524
2019-01-18 01 B,1763.2646
2019-01-18 02 B,1500.2478
2019-01-18 03 B,1422.3531
2019-01-18 04 B,1440.4434
2019-01-18 05 B,1648.5342
2019-01-18 06 B,1695.2682
2019-01-18 07 B,1938.4197
2019-01-18 08 B,2346.303
2019-01-18 09 B,2423.943
2019-01-18 10 B,2319.896
2019-01-18 11 B,2270.3394
2019-01-18 12 B,2042.7916
2019-01-18 13 B,1853.91
2019-01-18 14 B,1775.7305
2019-01-18 15 B,1707.3325
2019-01-18 16 B,1700.5591
2019-01-18 17 B,1758.0579
2019-01-18 18 B,1923.498
2019-01-18 19 B,2208.3555
2019-01-18 20 B,2284.0356
2019-01-18 21 B,2269.1287
2019-01-18 22 B,2245.8313
2019-01-18 23 B,2108.9832
2019-01-18 24 B,2014.0275
2019-01-19 01 B,1764.9388
2019-01-19 02 B,1508.926
2019-01-19 03 B,1403.1865
2019-01-19 04 B,1451.69
2019-01-19 05 B,1616.4832
2019-01-19 06 B,1701.9421
2019-01-19 07 B,1945.0936
2019-01-19 08 B,2352.9768
2019-01-19 09 B,2426.3591
2019-01-19 10 B,2321.57
2019-01-19 11 B,2272.0134
2019-01-19 12 B,2044.4655
2019-01-19 13 B,1855.5842
2019-01-19 14 B,1777.4047
2019-01-19 15 B,1711.3978
2019-01-19 16 B,1703.439
2019-01-19 17 B,1759.732
2019-01-19 18 B,1925.1722
2019-01-19 19 B,2181.2798
2019-01-19 20 B,2285.7097
2019-01-19 21 B,2270.8027
2019-01-19 22 B,2247.5054
2019-01-19 23 B,2110.6572
2019-01-19 24 B,2003.6907
2019-01-20 01 B,1778.5286
2019-01-20 02 B,1522.5157
2019-01-20 03 B,1423.5739
2019-01-20 04 B,1472.0773
2019-01-20 05 B,1636.8705
2019-01-20 06 B,1722.3295
2019-01-20 07 B,1965.481
2019-01-20 08 B,2366.3894
2019-01-20 09 B,2441.3623
2019-01-20 10 B,2336.5732
2019-01-20 11 B,2288.32
2019-01-20 12 B,2060.7712
2019-01-20 13 B,1837.7085
2019-01-20 14 B,1794.2526
2019-01-20 15 B,1700.034
2019-01-20 16 B,1692.0752
2019-01-20 17 B,1748.3683
2019-01-20 18 B,1937.9115
2019-01-20 19 B,2231.853
2019-01-20 20 B,2304.6143
2019-01-20 21 B,2289.4224
2019-01-20 22 B,2265.245
2019-01-20 23 B,2128.397
2019-01-20 24 B,2033.441
2019-01-21 01 B,1775.4385
2019-01-21 02 B,1555.7134
2019-01-21 03 B,1450.9525
2019-01-21 04 B,1469.0427
2019-01-21 05 B,1677.1335
2019-01-21 06 B,1725.3374
2019-01-21 07 B,1968.4889
2019-01-21 08 B,2369.3972
2019-01-21 09 B,2442.4768
2019-01-21 10 B,2337.4736
2019-01-21 11 B,2287.1003
2019-01-21 12 B,2063.0364
2019-01-21 13 B,1876.0566
2019-01-21 14 B,1790.685
2019-01-21 15 B,1720.9773
2019-01-21 16 B,1714.2039
2019-01-21 17 B,1771.7026
2019-01-21 18 B,1939.9707
2019-01-21 19 B,2277.3135
2019-01-21 20 B,2345.944
2019-01-21 21 B,2322.7593
2019-01-21 22 B,2285.5193
2019-01-21 23 B,2163.3745
2019-01-21 24 B,2055.3076
2019-01-22 01 B,1775.5925
2019-01-22 02 B,1555.8674
2019-01-22 03 B,1425.0422
2019-01-22 04 B,1448.6978
2019-01-22 05 B,1638.3389
2019-01-22 06 B,1684.8491
2019-01-22 07 B,1966.9493
2019-01-22 08 B,2367.858
2019-01-22 09 B,2395.7837
2019-01-22 10 B,2343.8608
2019-01-22 11 B,2290.7395
2019-01-22 12 B,2025.4839
2019-01-22 13 B,1840.1052
2019-01-22 14 B,1790.8391
2019-01-22 15 B,1721.1313
2019-01-22 16 B,1714.3579
2019-01-22 17 B,1771.8567
2019-01-22 18 B,1940.1248
2019-01-22 19 B,2277.4678
2019-01-22 20 B,2346.0984
2019-01-22 21 B,2322.9136
2019-01-22 22 B,2285.6736
2019-01-22 23 B,2163.5288
2019-01-22 24 B,2055.462
2019-01-23 01 B,1776.1964
2019-01-23 02 B,1519.7836
2019-01-23 03 B,1417.0599
2019-01-23 04 B,1443.2808
2019-01-23 05 B,1614.8302
2019-01-23 06 B,1656.9915
2019-01-23 07 B,1900.5989
2019-01-23 08 B,2317.9531
2019-01-23 09 B,2397.6423
2019-01-23 10 B,2315.3765
2019-01-23 11 B,2287.0466
2019-01-23 12 B,2019.7446
2019-01-23 13 B,1813.0437
2019-01-23 14 B,1785.0822
2019-01-23 15 B,1721.9934
2019-01-23 16 B,1715.22
2019-01-23 17 B,1772.0934
2019-01-23 18 B,1937.3501
2019-01-23 19 B,2263.983
2019-01-23 20 B,2314.5344
2019-01-23 21 B,2316.5723
2019-01-23 22 B,2261.7136
2019-01-23 23 B,2142.4841
2019-01-23 24 B,2049.1206
2019-01-24 01 B,1774.35
2019-01-24 02 B,1517.9371
2019-01-24 03 B,1415.2135
2019-01-24 04 B,1441.4343
2019-01-24 05 B,1612.9838
2019-01-24 06 B,1655.145
2019-01-24 07 B,1898.7524
2019-01-24 08 B,2316.107
2019-01-24 09 B,2395.7961
2019-01-24 10 B,2313.5303
2019-01-24 11 B,2285.2004
2019-01-24 12 B,2017.8982
2019-01-24 13 B,1811.1973
2019-01-24 14 B,1773.737
2019-01-24 15 B,1718.0847
2019-01-24 16 B,1711.3113
2019-01-24 17 B,1764.792
2019-01-24 18 B,1932.111
2019-01-24 19 B,2258.7444
2019-01-24 20 B,2334.5186
2019-01-24 21 B,2310.366
2019-01-24 22 B,2255.5073
2019-01-24 23 B,2136.2778
2019-01-24 24 B,2044.7834
2019-01-25 01 B,1806.5176
2019-01-25 02 B,1621.0502
2019-01-25 03 B,1519.6755
2019-01-25 04 B,1563.1168
2019-01-25 05 B,1716.5828
2019-01-25 06 B,1766.4248
2019-01-25 07 B,2024.6428
2019-01-25 08 B,2440.6394
2019-01-25 09 B,2507.4712
2019-01-25 10 B,2444.22
2019-01-25 11 B,2370.1748
2019-01-25 12 B,2117.9133
2019-01-25 13 B,1916.5204
2019-01-25 14 B,1840.3433
2019-01-25 15 B,1716.4181
2019-01-25 16 B,1709.6447
2019-01-25 17 B,1763.1254
2019-01-25 18 B,1998.0052
2019-01-25 19 B,2299.8
2019-01-25 20 B,2366.1838
2019-01-25 21 B,2342.9521
2019-01-25 22 B,2292.6572
2019-01-25 23 B,2163.85
2019-01-25 24 B,2045.1254
2019-01-26 01 B,1809.2937
2019-01-26 02 B,1594.675
2019-01-26 03 B,1524.1455
2019-01-26 04 B,1550.7207
2019-01-26 05 B,1698.9073
2019-01-26 06 B,1750.6523
2019-01-26 07 B,2008.8704
2019-01-26 08 B,2424.1345
2019-01-26 09 B,2490.2722
2019-01-26 10 B,2426.1082
2019-01-26 11 B,2350.259
2019-01-26 12 B,2100.0889
2019-01-26 13 B,1903.8622
2019-01-26 14 B,1842.705
2019-01-26 15 B,1757.4938
2019-01-26 16 B,1751.6992
2019-01-26 17 B,1804.2168
2019-01-26 18 B,1997.6686
2019-01-26 19 B,2287.3767
2019-01-26 20 B,2365.2202
2019-01-26 21 B,2320.44
2019-01-26 22 B,2279.7031
2019-01-26 23 B,2148.3164
2019-01-26 24 B,2052.8933
2019-01-27 01 B,1767.0181
2019-01-27 02 B,1550.9641
2019-01-27 03 B,1467.56
2019-01-27 04 B,1494.1353
2019-01-27 05 B,1642.3219
2019-01-27 06 B,1697.1261
2019-01-27 07 B,1954.2253
2019-01-27 08 B,2378.5762
2019-01-27 09 B,2462.9875
2019-01-27 10 B,2398.8235
2019-01-27 11 B,2326.2812
2019-01-27 12 B,2096.49
2019-01-27 13 B,1899.7754
2019-01-27 14 B,1838.6182
2019-01-27 15 B,1753.407
2019-01-27 16 B,1747.6124
2019-01-27 17 B,1796.8031
2019-01-27 18 B,1976.7852
2019-01-27 19 B,2260.1948
2019-01-27 20 B,2337.4792
2019-01-27 21 B,2292.5527
2019-01-27 22 B,2247.5132
2019-01-27 23 B,2116.0674
2019-01-27 24 B,1994.3441
2019-01-28 01 B,1756.1388
2019-01-28 02 B,1496.7998
2019-01-28 03 B,1397.7571
2019-01-28 04 B,1396.2444
2019-01-28 05 B,1548.647
2019-01-28 06 B,1620.005
2019-01-28 07 B,1863.6124
2019-01-28 08 B,2287.4065
2019-01-28 09 B,2336.9792
2019-01-28 10 B,2279.1636
2019-01-28 11 B,2254.9905
2019-01-28 12 B,1999.9528
2019-01-28 13 B,1811.9733
2019-01-28 14 B,1764.8085
2019-01-28 15 B,1647.3074
2019-01-28 16 B,1639.3485
2019-01-28 17 B,1685.3043
2019-01-28 18 B,1883.6674
2019-01-28 19 B,2134.2012
2019-01-28 20 B,2235.4988
2019-01-28 21 B,2199.9443
2019-01-28 22 B,2178.6975
2019-01-28 23 B,2010.4978
2019-01-28 24 B,1919.1974
2019-01-29 01 B,1645.0571
2019-01-29 02 B,1448.0436
2019-01-29 03 B,1353.7797
2019-01-29 04 B,1380.5228
2019-01-29 05 B,1496.6176
2019-01-29 06 B,1568.3975
2019-01-29 07 B,1794.7007
2019-01-29 08 B,2216.7349
2019-01-29 09 B,2267.1316
2019-01-29 10 B,2211.0676
2019-01-29 11 B,2127.9265
2019-01-29 12 B,1912.2533
2019-01-29 13 B,1746.9418
2019-01-29 14 B,1683.4336
2019-01-29 15 B,1586.1636
2019-01-29 16 B,1576.9327
2019-01-29 17 B,1625.5839
2019-01-29 18 B,1757.5305
2019-01-29 19 B,2051.9155
2019-01-29 20 B,2123.6077
2019-01-29 21 B,2117.3494
2019-01-29 22 B,2071.831
2019-01-29 23 B,1943.8333
2019-01-29 24 B,1833.0477
2019-01-30 01 B,1517.6816
2019-01-30 02 B,1323.4465
2019-01-30 03 B,1221.5326
2019-01-30 04 B,1250.3768
2019-01-30 05 B,1370.4944
2019-01-30 06 B,1419.3053
2019-01-30 07 B,1643.3768
2019-01-30 08 B,2026.9893
2019-01-30 09 B,2075.2905
2019-01-30 10 B,2019.2754
2019-01-30 11 B,1959.4213
2019-01-30 12 B,1740.5576
2019-01-30 13 B,1597.1223
2019-01-30 14 B,1572.6593
2019-01-30 15 B,1469.9999
2019-01-30 16 B,1461.2015
2019-01-30 17 B,1508.3763
2019-01-30 18 B,1672.2496
2019-01-30 19 B,2063.5981
2019-01-30 20 B,1977.6176
2019-01-30 21 B,1954.4227
2019-01-30 22 B,1911.4512
2019-01-30 23 B,1803.5416
2019-01-30 24 B,1682.4124
2019-01-31 01 B,1427.6317
2019-01-31 02 B,1215.3661
2019-01-31 03 B,1089.5944
2019-01-31 04 B,1141.859
2019-01-31 05 B,1268.4818
2019-01-31 06 B,1346.8059
2019-01-31 07 B,1569.6095
2019-01-31 08 B,1943.0396
2019-01-31 09 B,1965.394
2019-01-31 10 B,1853.3702
2019-01-31 11 B,1799.1559
2019-01-31 12 B,1712.3534
2019-01-31 13 B,1496.9685
2019-01-31 14 B,1387.1667
2019-01-31 15 B,1295.9503
2019-01-31 16 B,1292.2555
2019-01-31 17 B,1329.0607
2019-01-31 18 B,1529.8522
2019-01-31 19 B,1821.2255
2019-01-31 20 B,1961.572
2019-01-31 21 B,1801.5292
2019-01-31 22 B,1755.1598
2019-01-31 23 B,1641.3798
2019-01-31 24 B,1555.1771
2019-02-01 01 B,1602.0739
2019-02-01 02 B,1400.664
2019-02-01 03 B,1304.0732
2019-02-01 04 B,1329.4359
2019-02-01 05 B,1435.734
2019-02-01 06 B,1522.7025
2019-02-01 07 B,1728.9701
2019-02-01 08 B,2071.7598
2019-02-01 09 B,2181.0227
2019-02-01 10 B,2051.536
2019-02-01 11 B,2006.4974
2019-02-01 12 B,1800.7526
2019-02-01 13 B,1681.8008
2019-02-01 14 B,1589.6146
2019-02-01 15 B,1462.7747
2019-02-01 16 B,1453.407
2019-02-01 17 B,1504.9038
2019-02-01 18 B,1672.3579
2019-02-01 19 B,1994.7609
2019-02-01 20 B,2096.8413
2019-02-01 21 B,2077.0815
2019-02-01 22 B,2037.867
2019-02-01 23 B,1951.9717
2019-02-01 24 B,1861.9944
2019-02-02 01 B,1550.9456
2019-02-02 02 B,1400.0972
2019-02-02 03 B,1301.2006
2019-02-02 04 B,1324.8367
2019-02-02 05 B,1462.5557
2019-02-02 06 B,1524.8163
2019-02-02 07 B,1751.1843
2019-02-02 08 B,2134.1343
2019-02-02 09 B,2219.5847
2019-02-02 10 B,2165.1199
2019-02-02 11 B,2077.904
2019-02-02 12 B,1850.4866
2019-02-02 13 B,1706.6526
2019-02-02 14 B,1617.0785
2019-02-02 15 B,1528.3983
2019-02-02 16 B,1519.0306
2019-02-02 17 B,1573.2275
2019-02-02 18 B,1701.5487
2019-02-02 19 B,2022.7755
2019-02-02 20 B,2124.3767
2019-02-02 21 B,2116.0002
2019-02-02 22 B,2073.35
2019-02-02 23 B,1959.4121
2019-02-02 24 B,1883.3888
2019-02-03 01 B,1558.0087
2019-02-03 02 B,1407.1603
2019-02-03 03 B,1310.0172
2019-02-03 04 B,1333.6533
2019-02-03 05 B,1471.3723
2019-02-03 06 B,1533.6329
2019-02-03 07 B,1760.001
2019-02-03 08 B,2145.7021
2019-02-03 09 B,2225.6504
2019-02-03 10 B,2171.1855
2019-02-03 11 B,2084.0054
2019-02-03 12 B,1867.1667
2019-02-03 13 B,1710.5609
2019-02-03 14 B,1625.4474
2019-02-03 15 B,1536.7672
2019-02-03 16 B,1527.3995
2019-02-03 17 B,1581.5964
2019-02-03 18 B,1709.9176
2019-02-03 19 B,2058.8787
2019-02-03 20 B,2132.7449
2019-02-03 21 B,2123.4463
2019-02-03 22 B,2082.4458
2019-02-03 23 B,1968.5087
2019-02-03 24 B,1892.4854
2019-02-04 01 B,1740.7017
2019-02-04 02 B,1476.5702
2019-02-04 03 B,1366.6914
2019-02-04 04 B,1390.7852
2019-02-04 05 B,1574.3478
2019-02-04 06 B,1638.1708
2019-02-04 07 B,1885.7837
2019-02-04 08 B,2275.7117
2019-02-04 09 B,2356.3838
2019-02-04 10 B,2271.674
2019-02-04 11 B,2210.413
2019-02-04 12 B,1952.0579
2019-02-04 13 B,1806.959
2019-02-04 14 B,1714.3516
2019-02-04 15 B,1633.0608
2019-02-04 16 B,1623.9095
2019-02-04 17 B,1682.8474
2019-02-04 18 B,1849.3444
2019-02-04 19 B,2145.0542
2019-02-04 20 B,2253.7363
2019-02-04 21 B,2240.2988
2019-02-04 22 B,2191.5293
2019-02-04 23 B,2083.9438
2019-02-04 24 B,1970.1864
2019-02-05 01 B,1738.4417
2019-02-05 02 B,1474.3102
2019-02-05 03 B,1364.4314
2019-02-05 04 B,1388.5251
2019-02-05 05 B,1572.0878
2019-02-05 06 B,1635.9108
2019-02-05 07 B,1882.0028
2019-02-05 08 B,2273.2864
2019-02-05 09 B,2353.9583
2019-02-05 10 B,2267.4932
2019-02-05 11 B,2206.2322
2019-02-05 12 B,1949.6323
2019-02-05 13 B,1804.5334
2019-02-05 14 B,1711.926
2019-02-05 15 B,1630.6353
2019-02-05 16 B,1621.484
2019-02-05 17 B,1680.4219
2019-02-05 18 B,1846.9188
2019-02-05 19 B,2142.6287
2019-02-05 20 B,2251.3108
2019-02-05 21 B,2237.8733
2019-02-05 22 B,2189.1038
2019-02-05 23 B,2081.5183
2019-02-05 24 B,1967.7609
2019-02-06 01 B,1737.6641
2019-02-06 02 B,1473.5326
